BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN01985681	SRX254205	1914	1181	SRR791059	SRS403409	GSM1104003	Breast tumor	HER2+ Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985682	SRX254206	2119	1006	SRR791060	SRS403410	GSM1104004	Breast tumor	Triple Negative Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985683	SRX254207	1675	935	SRR791061	SRS403411	GSM1104005	Breast tumor	HER2+ Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985684	SRX254208	1846	1109	SRR791062	SRS403412	GSM1104006	Breast tumor	HER2+ Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985685	SRX254209	2406	1155	SRR791063	SRS403413	GSM1104007	Breast tumor	Triple Negative Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985686	SRX254210	2154	1004	SRR791064	SRS403414	GSM1104008	Breast tumor	Triple Negative Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985687	SRX254211	2028	976	SRR791065	SRS403415	GSM1104009	Breast tumor	Triple Negative Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985688	SRX254212	2036	727	SRR791066	SRS403416	GSM1104010	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985689	SRX254213	1995	724	SRR791067	SRS403417	GSM1104011	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985690	SRX254214	2146	770	SRR791068	SRS403418	GSM1104012	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985691	SRX254215	2008	728	SRR791069	SRS403419	GSM1104013	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985692	SRX254216	2292	856	SRR791070	SRS403420	GSM1104014	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985693	SRX254217	2067	721	SRR791071	SRS403421	GSM1104015	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985694	SRX254218	1931	714	SRR791072	SRS403422	GSM1104016	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985695	SRX254219	2055	748	SRR791073	SRS403423	GSM1104017	Benign cell lines (HMEC)	Benign cell lines (HMEC)	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
SAMN01985696	SRX254220	2735	1378	SRR791074	SRS403424	GSM1104018	Breast tumor	Triple Negative Breast Tumor	RNA-Seq	<not provided>	PRJNA193673	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-11-18	Homo sapiens	ILLUMINA	2015-07-22	SRP019936	<not provided>	<not provided>	<not provided>
